indonesia,sambas
"waspada","waspada"
"saling berbohong","sembulaan"
"hanya mengikat di ujung setelah di bungkus","kamput"
"pembersih rambut","langger"
"lebur","labbor"
"tampar","tampar"
"salah satu ikan air tawar","battok"
"minta","nampah"
"omong kosong","ngeramput"
"hidup","iddup"
"almahrumah","jannat"
"teropong","keker"
"bawa","bawak"
"tinggi semampai","jangkong"
"kawin","kawen"
"pengantin","penganten"
"berladang","kume"
"menoleh","ngaleh"
"peruntukkan","bagian"
"kembang api","marcu"
"kembang api","bunge api"
"tempayan kecil","gabok"
"mati-matian","setangah mati"
"libur","parrai"
"dahulu","dolok"
"silau","pannar"
"usus","usus"
"usus","beraran parrut"
"pukul","bantai"
"sandal jepit","selepar"
"titip","nitip"
"sering","karap"
"sering","karrap"
"sering","karrapan"
"gemuk","gammok"
"pada","pade"
"sobek","babbas"
"nyiur","kelapa'"
"sesak nafas","sassak"
"sesak nafas","angas"
"sendok","suddo'"
"sendok","suddok"
"burung hantu","buwak"
"jendela","plenggokan"
"menanam padi","nandor"
"nanam padi","nandor"
"musuh","mussoh"
"musuh","munsoh"
"kasur","sedduni"
"mukanya","mukenye"
"mukanya","muke'eng"
"gulat","gummol"
"mengikuti","ngikutek"
"meramal","betannong"
"kadangkala","jarang"
"bila","bille"
"usir","burru"
"pada zaman dahulu","gek mare'k"
"enak","nyaman"
"mengenang","ngannang"
"mengalir","ngaler"
"makmur","makmor"
"oplet","oto tambang"
"ringan","enteng"
"perahu","perau"
"bocor","babbas"
"memuaskan","bele lalu"
"darimana","darimane"
"hati-hati","ati-ati"
"ikat","karut"
"puyeng","panning"
"memancing","najor"
"mata melotot","tibajul"
"wanita","cewek"
"wanita","perempuan"
"begini","gettok"
"kelapa","inyok"
"bocor","passok"
"layang-layang","uwaw"
"tidak enak badan","daan nyaman badan"
"dapur","siok"
"kadal","tengkarong"
"lancar","nglekot"
"empat hari mendatang","jannun"
"sarang laba-laba","mutau"
"menyentil","jantek"
"mata kaki","bigge' asam"
"mata kaki","mate kaki"
"hisap","insap"
"rapi","calle'"
"menangkap ikan dengan tangan kosong","gammal"
"potongan","ballahan"
"lama","lamak"
"geraham","graham"
"jaring","jale"
"sanjung","sanjong"
"mengada-ada","meramput"
"mengada-ada","ngade-ngade"
"jahil","jahel"
"jahil","jajjal"
"kembalian","sunsongan"
"banyak sobekan","rambau"
"menahan","raggang"
"mengedipkan mata","ngijat"
"congek","bongol"
"sangat takut","bacul"
"sangat takut","takut inyan"
"berhubungan seksual","ngampek"
"musim mangga","musem asam"
"zaman dulu","gek dolok"
"sesak nafas habis berjalan atau berlari jauh","angngas"
"tanya","tanyak"
"jalan","jalan"
"di situ","di sie"
"bisul","bingsol"
"bisul","binsol"
"bukan main","kan age'"
"bukan main","kan agek"
"beri","barre'"
"memuntahkan sesuatu","melue'kan"
"jepit","kappik"
"lepas","lappas"
"insanak saudara","sanak sodare"
"telungkup","tungkup"
"berteriak","ngeraok"
"masjid","masjid"
"masjid","langgar"
"berhias","bemesen"
"jijik","gattik"
"bergelombang","begelombang"
"pingin","nak"
"terus menerus","aja'-aja'"
"lele","kalle'"
"habis tidak bersisa","langngis"
"hari minggu","ahad"
"kenyang","kanyang"
"menyemai benih","incamai"
"galak","garang"
"ikat","ikkat"
"kamu kemana","kau kemane"
"tidak simetris","besingka'"
"tidak simetris","daan simetris"
"ganggu","ngacau"
"kasur","seduni"
"kupas","kussak"
"kenangan","kanangan"
"susu","susu"
"buah dada","nennen"
"buah dada","susu"
"payudara","nennen"
"payudara","susu"
"mempersalahkan","masalahkan"
"pepaya","battek"
"pepaya","batte'"
"mondar-mandir mengelilingi sesuatu","kelintau-kelintau"
"undangan pernikahan","penggelan"
"kondangan","penggelan"
"berhenti merokok","beranti merokok"
"memancarkan","mancarkan"
"terlungkup","tingkap"
"tetap","tatap"
"tertinggal","ketinggalan"
"korek api kayu","malirang"
"kerang","kappah"
"bingung","bingngong"
"dedak","daddak"
"lauk pauk","laok paok"
"berlubang","belubang"
"berlubang","passok"
"sadar","sadar"
"sadar","maddas"
"pura-pura tidur","mlandok"
"pura-pura","purak-purak"
"pura pura","purak purak"
"penglihatan yang kurang baik","julau"
"kalian","kitak"
"lurus","bujor"]
"lagi","agek"
"genit","birrah"]
"ampas minyak kelapa","taek lalla'"
"tertidur","tetidok"
"sembrono","da'an semanggah"
"sekarang","kinitok"
"dering","darring"
"burung elang","bendaol"
"burung elang","penaol"
"daftar","daptar"
"di tinggal","kanak tinggalkan"
"sembat","hambat"
"mobil","oto"
"bodoh","bodo bale"
"bodoh","bodo"
"masih kenyang","sabol"
"masih kenyang","maseh kannyang"
"sampan kecil","ajjong"
"perahu","ajjong"
"wc","kakus"
"jentik","ngkatek"
"jentik-jentik","ngkatek"
"jentik jentik","ngkatek"
"aneh","endah"
"peti mati","kerande"
"telur","tallo'"
"telur","tallok"
"bergelimpang","gelempang"
"terdampar","tedampar"
"terdampar","belampar"
"banyak bertanya","alek inyan"
"orang miskin","fakir"
"orang miskin","urang sontok"
"jinak","jinnak"
"gang","lorong"
"runcing","lancup"
"bekut","bakkut"
"terjatuh","tebuang"
"celana","katok"
"bergurau","pongah"
"gotong royong","keraje bakti"
"sungguh-sungguh","simanar"
"dukun santet","bomo"
"berlipat","belippat"
"situ","sinnun"
"limbah rumah tangga","cempiring"
"bolal balik","kulukilek"
"halilintar","panah lentar"
"terlalu rajin","kerajingan"
"mencuci pakaian disungai","nappas"
"cepirit","tekincik"
"tidak etis","nda' tau adat"
"tidak etis","daan tau adat"
"tidak etis","daan sopan"
"kepingin","carrat"
"mengeras","najjing"
"tinggalin","tinggalkan"
"libur sekolah","parrai"
"libur sekolah","libur"
"tangga","tanggak"
"kue bingke","bingke"
"kancing baju","kancing"
"teras","teres"
"sombong","banga'"
"kemasukan setan","kesarrongngan"
"bersisir","bekillas"
"bergetar","begantar"
"bergetar","ngelantar"=
"sepeda","kerete"
"sepeda","gerete"
"berhentikan","rantikan"
"sudah","udah"
"fasih","nglekot"
"panen padi","beranyi"
"sedikit","sikit"
"bau bangkai","buntok"
"bau busuk","buntok"
"celana dalam","kolor"
"celana dalam","celane dalam"
"tabrak","ranca'"
"tabrak","melanggar"
"mengiringi","ngiringek"
"mencoreng","nyoreng"
"pakaian kotor","kumal"
"pakaian kotor","bakok"
"beku","bakok"
"sleding","sengkak"
"berdebar","bobar"
"berdebar","bedabbar"
"ikan lais","insubbong"
"benci","banci'"
"benci","bancik"
"anggur","anggor"
"saya","saye"
"mencair","meleleh"
"kates","batte'"
"pepaya","batte'"
"debar","dabbar"
"setelah","lakak"
"setelah","bakde"
"gila","gile"
"gila","ayap"
"jengger","damber"
"lurus","bujjor"
"piring","pinggan"
"piring","piring"
"mondar mandir","pulang balik"
"bendera","bendere"
"bendera","penere"=
"bruntusan","ngeruttu"
"kekang","kakang"
"antara","antare"
"terjatuh dari atas","belabbik"
"seperti yang aku katakan","iddi jiku"
"seperti yang aku katakan","macam yang kupadahkan"
"seperti yang aku katakan","macam yang kuomongkan"
"banting","ampok"
"remas","gammer"
"jerih","jarreh"
"sudah datang","dah datang"
"sementara","sementare"
"uang","duit"
"kiraan","kire-kire"
"bujur","bujjor"
"tak","daan"
"bibi","mak tua'"
"tante","mak tua'"
"sepuluh","sepuloh"
"jatuh","luroh"
"jatuh","belabik"
"menyelam","nyallor"
"menyelam","nyallam"
"rumah diatas air","lanting"
"terisi penuh","bantat"
"terisi penuh","terisek pannoh"
"bohong","bulak"
"terbalik","tebalik"
"penutup","tudong"
"lembab","lambab"
"malu","supan"
"nanti","nante'"
"pergi","mare"
"pergi","paggi"
"tidak kekal","daan kakkal"
"genit","birah"
"lari dengan cepat","lancing"
"menolong","nullong"
"bubur pedas","bubor paddas"
"mata terfokus","conom"
"mandi disungai","ngabboh"
"pinter","pintar"
"mengajar","ngajar"
"selesai","lakka'"
"jorok","cerobo'"
"jorok","cerobok"
"ompong","rongak"
"bagaimana","gaimane"
"bagaimana","bagaimane"
"bagaimana","gimane"
"manfaat","manfaat"
"manfaat","faedah"
"berantem","kelai"
"diri","dire'"
"pincang","jengkat"
"buntung","kutong"
"jajan diluar","ngenam"
"sumur","tilage"
"sumur","telage"
"duduk","dudok"
"asah","ngansah"
"hama","ama'"
"menghayal","mereke"
"tawari","tampahe'"
"tawari","tampahkan"
"tawari","tawarkan"
"tawari","tawarek"
"ambilkan","ambekkan"
"bubu","bubbu"
"kadaluarsa","ubas"
"kadaluarsa","basi"
"ngobrol","ngobrol"
"ngobrol","bekelah"
"ngobrol","bekesah"
"daun sayur khas untuk bubur pedas","daun kasum"
"disebelah","ancong"
"disebelah","antol"
"disebelah","didakat"
"kadang kadang","biasenye"
"ragu-ragu","ragu"
"ragu-ragu","gamam"
"cepirit","tekincik"
"usir","layyah"
"usir","user"
"tidak ada","sian"
"tidak ada","ndak ade"
"tidak ada","nda' ade"
"panci","apan"
"sayur","sayok"
"terlambat","telambat"
"menangkap ikan pakai tangan kosong","ngammal"
"laki","cowok"
"bongkok","bungkok"
"cemberut","masam"
"semoga","semoge"
"menggoyang keras","ngincah"
"sarapan pagi","nyaddal"
"sarapan pagi","sarapan pagi"
"sarapan pagi","makan pagi"
"banyak","banyak"
"banyak","tebayak"
"nakal","soso"
"tidak mau","besumpik"
"mengkilat","mlanning"
"mengkilat","melanning"
"megap-megap","napas baong"
"berlebihan","sallap"
"berlebihan","belabehan"
"wewangian","minyak bau"
"bagian ujung/luar rumah biasa digunakan untuk mencuci piring","pelantaran"
"membekas","cangkit"
"melamun","temanong"
"sayuran pakis","midding"
